Scatterplot Name,Dataset Name,Number of Entire Data,Number of Classes,Marker Size,M_distance,M_distance Calculation Time,LOF Distance,LOF Distance Calculation Time,Isolation Forest Distance,Isolation Forest Distance Calculation Time,Centroid Distance,Centroid Distance Calculation Time,Average Linkage Method Distance,Average Linkage Method Distance Calculation Time,Complete Linkage Method Distance,Complete Linkage Method Distance Calculation Time,Single Linkage Method Distance,Single Linkage Method Distance Calculation Time,Leverage Score Distance,Leverage Score Distance Calculation Time,Cook Distance,Cook Distance Calculation Time,Orthogonal Distance to Lowess Line,Orthogonal Distance to Lowess Line Calculation Time,Vertical Distance to Lowess Line,Vertical Distance to Lowess Line Calculation Time,Horizontal Distance to Lowess Line,Horizontal Distance to Lowess Line Calculation Time,Visibility Index,Visibility Index Calculation Time,MPix,MPix Calculation Time,Grid Density Overlap Degree,Grid Density Overlap Degree Calculation Time,Kernel Density Overlap Degree,Kernel Density Overlap Degree Calculation Time,Nearest Neighbor Distance,Nearest Neighbor Distance Calculation Time,Pairwise Bounding Box Overlap Degree,Pairwise Bounding Box Overlap Degree Calculation Time,No. Covered Data Points,No. Covered Data Points by Different Classes,Categories Covered Data Points by Different Classes
figure_ascendingmarkersize50_n500-d10-c5-spr0.1-out0_TSNE_2,n500-d10-c5-spr0.1-out0_TSNE_2,500,5,50,0.9066488448094454,0.3629305362701416,0.9064160581111993,0.35005664825439453,0.902095468192909,0.7401227951049805,0.9110350505282933,0.4085428714752197,0.9111090342703032,0.429182767868042,0.9179232317324787,0.4197728633880615,0.9495074177192071,0.36874961853027344,0.90562659495085,0.366499662399292,0.962859017162219,0.4214184284210205,0.9128296345405783,3.1820478439331055,0.9085216733606074,0.43706750869750977,0.9437714312021829,9.343026399612427,1.0,0.20392704010009766,2271,0.12575936317443848,0.0,0.16756200790405273,0.025280335028430953,0.08474922180175781,11.205982612013107,0.003998279571533203,-,15,0,0,[]
figure_descendingmarkersize10_n500-d10-c5-spr0.1-out0_TSNE_2,n500-d10-c5-spr0.1-out0_TSNE_2,500,5,10,0.9909336920179538,0.36739253997802734,0.9921929914498648,0.37151598930358887,0.992584741790914,0.6895017623901367,0.9911964559884487,0.3957090377807617,0.9920468244425893,0.36333751678466797,0.9918905480516609,0.4218864440917969,0.9986044190639987,0.4413914680480957,0.9913630630067226,0.42435717582702637,0.9966926836869572,0.3878474235534668,0.9929012557520017,3.3564045429229736,0.9928437476844594,0.46101927757263184,0.9965589365808287,10.29919147491455,1.0,0.1665172576904297,64,0.1500260829925537,0.0,0.1481461524963379,0.025280335028430957,0.07629179954528809,11.205982612013107,0.011141777038574219,0.004187489718229832,14.806592464447021,0,0,[]
figure_descendingmarkersize20_n500-d10-c5-spr0.1-out0_TSNE_2,n500-d10-c5-spr0.1-out0_TSNE_2,500,5,20,0.9768876468363872,0.3630943298339844,0.978794015716974,0.37729930877685547,0.9802842720776722,0.8323941230773926,0.9765337267821882,0.376906156539917,0.978186289765214,0.40887451171875,0.9789806987055935,0.3752298355102539,0.99398650258526,0.383298397064209,0.9787818983122946,0.35439395904541016,0.9923397406431058,0.4204111099243164,0.9780351974205247,3.2056901454925537,0.9791002472292717,0.40462660789489746,0.9891966036544428,0.4206678867340088,1.0,8.443590879440308,373,0.11946344375610352,0.0,0.11254572868347168,0.025280335028430957,0.05879831314086914,11.205982612013107,0.003882884979248047,0.006597841121106447,13.905466556549072,0,0,[]
figure_descendingmarkersize50_n500-d10-c5-spr0.1-out0_TSNE_2,n500-d10-c5-spr0.1-out0_TSNE_2,500,5,50,0.857993110772703,0.3817307949066162,0.8853782483614023,0.47440338134765625,0.9545741468342922,0.8076398372650146,0.8667027360716217,0.47251272201538086,0.8847878704266858,0.3582417964935303,0.911038573885487,0.4746885299682617,0.9496354478115208,0.4473106861114502,0.8379504632450255,0.380979061126709,0.8720778370887292,0.42855072021484375,0.8710814556787894,3.392204999923706,0.8735199500990105,0.4288632869720459,0.7343869864475756,0.39832592010498047,1.0,0.23042917251586914,2271,0.14062261581420898,0.0,10.117823839187622,0.025280335028430957,0.08807253837585449,11.205982612013107,0.004082441329956055,-,15,0,0,[]
figure_category_basedmarkersize10_n500-d10-c5-spr0.2-out0_TSNE_2,n500-d10-c5-spr0.2-out0_TSNE_2,500,5,10,0.9977053879021948,0.3682236671447754,0.9976722489773155,0.3622279167175293,0.997195468500845,0.6700413227081299,0.9977460067168659,0.39885640144348145,0.9975832077781255,0.3554348945617676,0.9977546185548388,0.4173860549926758,0.9995871045110769,0.3989126682281494,0.9970068125229199,0.3839092254638672,0.9997434942818464,0.3827188014984131,0.9987439516035169,2.9816031455993652,0.9989455649401325,0.42331385612487793,0.9996016048025391,0.3738420009613037,1.0,0.15718317031860352,20,0.1423356533050537,0.0,0.13630342483520508,0.025244401009099148,0.06764054298400879,13.647498962753742,0.004113912582397461,-,15,0,0,[]
figure_category_basedmarkersize20_n500-d10-c5-spr0.2-out0_TSNE_2,n500-d10-c5-spr0.2-out0_TSNE_2,500,5,20,0.9242671853957735,0.4113285541534424,0.9364571620200393,0.34127140045166016,0.9880993289118394,0.7991790771484375,0.926740702237129,0.44447755813598633,0.9340117166608621,0.4154500961303711,0.9529228290471989,0.41929101943969727,0.9838929585418578,0.38677430152893066,0.8820650541113977,0.4758951663970947,0.9226471669005376,0.37714123725891113,0.9508928093566664,2.9815080165863037,0.9421485308262859,0.42278051376342773,0.9790280665669201,0.40929508209228516,1.0,0.14765214920043945,150,0.1539292335510254,0.0,0.1288926601409912,0.025244401009099148,0.07992935180664062,13.647498962753742,0.006071805953979492,0.004086571521491726,14.869805335998535,0,0,[]
figure_category_basedmarkersize50_n500-d10-c5-spr0.2-out0_TSNE_2,n500-d10-c5-spr0.2-out0_TSNE_2,500,5,50,0.8031023794020977,9.025413990020752,0.8207729823756922,0.4092130661010742,0.9394844592642059,0.7837982177734375,0.8067550792734488,0.4625685214996338,0.8183648331126864,0.37891316413879395,0.8589073581519753,0.38579559326171875,0.9354527569900887,0.3821253776550293,0.731849699943891,0.37143540382385254,0.744986159276664,0.42589569091796875,0.8523188133475237,2.9662554264068604,0.8318402612148197,0.39628100395202637,0.9379724928126565,0.45117712020874023,1.0,0.23149585723876953,1044,0.1347944736480713,0.0,0.13069629669189453,0.025244401009099148,0.06666040420532227,13.647498962753742,0.008057594299316406,-,15,0,0,[]
figure_ascendingmarkersize10_n500-d10-c5-spr0.2-out0_TSNE_2,n500-d10-c5-spr0.2-out0_TSNE_2,500,5,10,0.9977215573613986,0.34978485107421875,0.9976758397955324,9.802942991256714,0.9972230116526231,0.8105530738830566,0.9977618202002196,0.35532665252685547,0.997591886134664,0.39958858489990234,0.9977553929099576,0.3268873691558838,0.9995871045110769,0.38457226753234863,0.9970194895794102,0.3517615795135498,0.9997695075165483,0.3818380832672119,0.9987927782946704,2.8334598541259766,0.9989479833492176,0.4078507423400879,0.999553204714235,0.4616713523864746,1.0,0.18750548362731934,20,0.17975068092346191,0.0,0.15052413940429688,0.025244401009099155,0.05120277404785156,13.647498962753744,0.004384517669677734,0.0022383074051792263,14.754116773605347,0,0,[]
figure_ascendingmarkersize20_n500-d10-c5-spr0.2-out0_TSNE_2,n500-d10-c5-spr0.2-out0_TSNE_2,500,5,20,0.9478323125161474,0.3980748653411865,0.9525514852271991,0.35150980949401855,0.9672436486744619,11.09095287322998,0.9466115812294051,0.39640307426452637,0.9480377125829468,0.4081540107727051,0.9526075495450819,0.3879067897796631,0.9838929585418578,0.3625328540802002,0.922876636247214,0.3416013717651367,0.9145606420940995,0.3678925037384033,0.9735921252497379,3.509556531906128,0.9650308412954466,0.4381370544433594,0.9871878802869345,0.4631533622741699,1.0,0.20499014854431152,150,0.11782574653625488,0.0,0.15261292457580566,0.025244401009099155,0.09106969833374023,13.647498962753744,0.010096549987792969,0.0040865715214917255,14.998718976974487,0,0,[]
figure_ascendingmarkersize50_n500-d10-c5-spr0.2-out0_TSNE_2,n500-d10-c5-spr0.2-out0_TSNE_2,500,5,50,0.855698804410286,0.37881994247436523,0.8570798078499673,0.36583662033081055,0.8813442658415915,0.7023391723632812,0.8520509341435827,10.194943904876709,0.8497826599113932,0.36893796920776367,0.8579430798404565,0.3975985050201416,0.9352792233566167,0.37949419021606445,0.8175695170202231,0.37743639945983887,0.8207090532937065,0.4280884265899658,0.8920004661042327,3.2698934078216553,0.8754251203750796,0.3989229202270508,0.9267679273792774,0.45435285568237305,1.0,0.19551539421081543,1044,0.13727736473083496,0.0,0.13759255409240723,0.025244401009099155,0.06533527374267578,13.647498962753744,0.0049800872802734375,-,15,0,0,[]
