Scatterplot Name,Dataset Name,Number of Entire Data,Number of Classes,Marker Size,M_distance,M_distance Calculation Time,LOF Distance,LOF Distance Calculation Time,Isolation Forest Distance,Isolation Forest Distance Calculation Time,Centroid Distance,Centroid Distance Calculation Time,Average Linkage Method Distance,Average Linkage Method Distance Calculation Time,Complete Linkage Method Distance,Complete Linkage Method Distance Calculation Time,Single Linkage Method Distance,Single Linkage Method Distance Calculation Time,Leverage Score Distance,Leverage Score Distance Calculation Time,Cook Distance,Cook Distance Calculation Time,Orthogonal Distance to Lowess Line,Orthogonal Distance to Lowess Line Calculation Time,Vertical Distance to Lowess Line,Vertical Distance to Lowess Line Calculation Time,Horizontal Distance to Lowess Line,Horizontal Distance to Lowess Line Calculation Time,Visibility Index,Visibility Index Calculation Time,MPix,MPix Calculation Time,Grid Density Overlap Degree,Grid Density Overlap Degree Calculation Time,Kernel Density Overlap Degree,Kernel Density Overlap Degree Calculation Time,Nearest Neighbor Distance,Nearest Neighbor Distance Calculation Time,Pairwise Bounding Box Overlap Degree,Pairwise Bounding Box Overlap Degree Calculation Time,No. Covered Data Points,No. Covered Data Points by Different Classes,Categories Covered Data Points by Different Classes,well-separated,Shape
figure_ascendingmarkersize50_n500-d10-c5-spr0.2-out0_TSNE_2,n500-d10-c5-spr0.2-out0_TSNE_2,500,5,50,0.1639935573326594,0.3603084087371826,0.1548850975730628,0.3472959995269775,0.1314416862825331,9.862212181091309,0.1542758668190249,0.3938076496124267,0.1443178403276651,0.4156522750854492,0.1383253281170869,0.4098341464996338,0.133519694256575,0.3455386161804199,0.1473881604596187,0.40826416015625,0.1854014192770819,0.4096918106079101,0.2064303798706435,2.484804391860962,0.1745563453224768,0.3925247192382812,0.2333655047964118,0.4247710704803467,1.0,0.1910324096679687,1044,0.1553921699523925,0.0,0.1100804805755615,0.0252444010090991,0.0632126331329345,13.647498962753744,0.0155205726623535,0.007238860303478916,14.609748601913452,0,0,[],no,['cluster']
figure_descendingmarkersize10_n500-d10-c5-spr0.2-out0_TSNE_2,n500-d10-c5-spr0.2-out0_TSNE_2,500,5,10,0.498087295279603,0.3935110569000244,0.4996587842715544,0.3614804744720459,0.4970321860574322,0.7002513408660889,0.4981889377308139,10.021180152893066,0.4990774131011278,0.3873391151428222,0.4999157413571952,0.3316421508789062,0.5,0.330639123916626,0.4989887098808546,0.3627662658691406,0.4722370889372433,0.3639688491821289,0.4894604902251569,3.014400720596313,0.4995696428553441,0.3476550579071045,0.5073529362375271,0.3797214031219482,1.0,0.1352643966674804,20,0.096038818359375,0.0,0.1100704669952392,0.0252444010090991,0.0469892024993896,13.647498962753744,0.0156147480010986,0.0022383074051792263,13.18548321723938,0,0,[],no,['cluster']
figure_descendingmarkersize20_n500-d10-c5-spr0.2-out0_TSNE_2,n500-d10-c5-spr0.2-out0_TSNE_2,500,5,20,0.0807261865340801,0.3945074081420898,0.0975351767487473,0.3633904457092285,0.5641706500109691,0.7599177360534668,0.0878536599768873,0.3844423294067383,0.1032618786673622,0.3598437309265136,0.138155429538834,9.859247207641602,0.1254812894382003,0.3311984539031982,0.0785788222120001,0.3644168376922607,0.0294253360210434,0.3555219173431396,0.05526590391336328,2.839658498764038,0.0619972208282124,0.3783321380615234,0.0343002323770724,0.3932132720947265,1.0,0.1626560688018798,150,0.1355154514312744,0.0,0.1261701583862304,0.0252444010090991,0.0785164833068847,13.647498962753744,0.0,0.0040865715214917255,13.762140989303589,0,0,[],no,['cluster']
figure_descendingmarkersize50_n500-d10-c5-spr0.2-out0_TSNE_2,n500-d10-c5-spr0.2-out0_TSNE_2,500,5,50,0.0794956038453744,0.368391752243042,0.0954803051273902,0.3465111255645752,0.4664905421355865,0.8701901435852051,0.0868773040724495,0.4005732536315918,0.1005573351282724,0.3460767269134521,0.1362533023047425,0.3775563240051269,0.1337247375601614,8.461492538452148,0.0759678590318604,0.3619451522827148,0.0262983842305081,0.416494607925415,0.06893055988227492,2.619403123855591,0.0724763975796277,0.4367763996124267,0.0593403297515204,0.3936104774475097,1.0,0.2197577953338623,1044,0.1582441329956054,0.0,0.1247925758361816,0.0252444010090991,0.0636076927185058,13.647498962753744,0.0121378898620605,0.007238860303478915,14.91194224357605,0,0,[],no,['cluster']
figure_category_basedmarkersize10_n500-d5-c3-spr0.1-out0_TSNE_2,n500-d5-c3-spr0.1-out0_TSNE_2,500,3,10,0.5002444841322606,0.3767406940460205,0.5003313964731606,0.3769140243530273,0.507209391924328,0.5181334018707275,0.4995450755073289,0.372983455657959,0.499574278340766,0.3152892589569092,0.4996855365682501,0.3285751342773437,0.5,0.3294589519500732,0.4985512295266833,9.182472705841064,0.5005201430720976,0.3294351100921631,0.5036930809923987,2.7913942337036133,0.5019215265806491,0.3286809921264648,0.4690801660265201,0.3617448806762695,1.0,0.1574394702911377,41,0.1100914478302002,0.0,0.0942895412445068,0.0251331096569491,0.0474715232849121,9.918306084462484,0.0,0.003204768491196256,12.18346881866455,0,0,[],yes,['cluster']
figure_category_basedmarkersize20_n500-d5-c3-spr0.1-out0_TSNE_2,n500-d5-c3-spr0.1-out0_TSNE_2,500,3,20,0.5017736318741208,0.4085690975189209,0.4998573493071114,0.3711154460906982,0.5008429777108147,0.5170972347259521,0.5009687551934761,0.3629727363586426,0.5003778521316933,0.3619201183319092,0.4998585910455935,0.2981841564178467,0.5,0.39211106300354,0.5022916691172622,0.3294916152954101,0.5017278331553419,10.67379355430603,0.5059291773127859,3.0161142349243164,0.5044750392284212,0.4067122936248779,0.4934661144013966,0.3614099025726318,1.0,0.1742651462554931,262,0.12508225440979,0.0,0.0946650505065918,0.0251331096569491,0.0782907009124755,9.918306084462484,0.0,0.0054008749301509805,14.457943677902222,0,0,[],yes,['cluster']
figure_category_basedmarkersize50_n500-d5-c3-spr0.1-out0_TSNE_2,n500-d5-c3-spr0.1-out0_TSNE_2,500,3,50,0.5006971757863543,0.3695852756500244,0.49964298909497,0.3624255657196045,0.5015210670928598,0.6311423778533936,0.5002675315381303,0.3921177387237549,0.4999568817826291,0.3304629325866699,0.4996570691056752,0.3604204654693603,0.500663964071785,0.3754556179046631,0.5009868545446216,0.3141608238220215,0.496854958751175,0.3303987979888916,0.5029416711658291,2.991504907608032,0.5028974296502728,10.135830640792848,0.4990453768556729,0.3921024799346924,1.0,0.1890623569488525,2109,0.1421730518341064,0.0,0.1410169601440429,0.0251331096569491,0.07889986038208,9.918306084462484,0.0,0.010313740364570752,12.86758017539978,0,0,[],yes,['cluster']
figure_ascendingmarkersize10_n500-d5-c3-spr0.1-out0_TSNE_2,n500-d5-c3-spr0.1-out0_TSNE_2,500,3,10,0.5028545045981709,0.3203399181365967,0.5012111665612955,0.3534252643585205,0.490956830765669,0.6059896945953369,0.5026981427929097,0.3150577545166015,0.5011279303963011,0.3160915374755859,0.5004905205093635,0.2911849021911621,0.5,0.2984218597412109,0.5011067051043377,0.3464114665985107,0.5044625654266566,0.3615894317626953,0.5025768355213167,2.626595497131348,0.5052853113836799,0.3318984508514404,0.4743676194851223,8.662104368209839,1.0,0.1096439361572265,41,0.1105523109436035,0.0,0.1099090576171875,0.0251331096569491,0.0785470008850097,9.918306084462484,0.0,0.003204768491196256,13.185425758361816,0,0,[],yes,['cluster']
figure_ascendingmarkersize20_n500-d5-c3-spr0.1-out0_TSNE_2,n500-d5-c3-spr0.1-out0_TSNE_2,500,3,20,0.5057861712196188,0.417168378829956,0.5014061446465108,0.3630542755126953,0.485816794974106,0.5975079536437988,0.5053751626215355,0.3773064613342285,0.5024506565752267,0.3461711406707763,0.5010727615861056,0.3154835700988769,0.5,0.3626880645751953,0.5059958937068438,0.3168525695800781,0.5100830144584363,0.3140885829925537,0.5054510380803321,3.018739461898804,0.5052760551742841,0.3678596019744873,0.489340613770633,0.3616087436676025,1.0,0.173161506652832,262,8.762620687484741,0.0,0.0941557884216308,0.0251331096569491,0.0637562274932861,9.918306084462484,0.0126299858093261,0.005400874930150981,13.417218685150146,0,0,[],yes,['cluster']
figure_ascendingmarkersize50_n500-d5-c3-spr0.1-out0_TSNE_2,n500-d5-c3-spr0.1-out0_TSNE_2,500,3,50,0.5098062986842442,0.378981351852417,0.5015093881057708,0.372807502746582,0.4860437703063219,0.6345369815826416,0.5088900698082348,0.3611776828765869,0.5039001297376009,0.4403223991394043,0.502015389159888,0.2997536659240722,0.4993617970631195,0.3318266868591308,0.5085008992749953,0.3805131912231445,0.5183077269774882,0.3460512161254883,0.5083812926973177,3.2949442863464355,0.5055914232521641,0.4058260917663574,0.5120083642191817,0.377131700515747,1.0,0.2194325923919677,2109,0.1409478187561035,0.0,0.1259431838989257,0.0251331096569491,0.0943219661712646,9.918306084462484,0.015761375427246,-,15.0,0,0,[],yes,['cluster']
figure_descendingmarkersize10_n500-d5-c3-spr0.1-out0_TSNE_2,n500-d5-c3-spr0.1-out0_TSNE_2,500,3,10,0.497145495401829,0.3968279361724853,0.4987888334387044,0.3615603446960449,0.509043169234331,0.6120319366455078,0.4973018572070903,0.4244198799133301,0.4988720696036988,0.3613762855529785,0.4995094794906365,0.392176866531372,0.5,0.4094140529632568,0.4988932948956622,0.344623327255249,0.4955374345733435,0.3478145599365234,0.4974231644786832,3.2783772945404053,0.49471468861632,0.4238262176513672,0.5256323805148776,0.3225002288818359,1.0,0.1277153491973877,41,0.1403017044067382,0.0,0.1096189022064209,0.0251331096569491,0.0480916500091552,9.918306084462484,0.0145831108093261,0.003204768491196256,14.109039783477783,0,0,[],yes,['cluster']
figure_descendingmarkersize20_n500-d5-c3-spr0.1-out0_TSNE_2,n500-d5-c3-spr0.1-out0_TSNE_2,500,3,20,0.4942138287803812,9.716888666152954,0.4985938553534891,0.3775250911712646,0.5141832050258939,0.5803000926971436,0.4946248373784644,0.3389475345611572,0.4975493434247734,0.3145914077758789,0.4989272384138944,0.3612077236175537,0.5,0.3551115989685058,0.4940041062931561,0.3422815799713135,0.4899169855415638,0.3771817684173584,0.4945489619196678,3.283032417297364,0.4947239448257158,0.3769266605377197,0.5106593862293669,0.3607590198516845,1.0,0.1573967933654785,262,0.1413559913635254,0.0,0.1258807182312011,0.0251331096569491,0.078798770904541,9.918306084462484,0.0,0.005400874930150981,14.5733802318573,0,0,[],yes,['cluster']
figure_descendingmarkersize50_n500-d5-c3-spr0.1-out0_TSNE_2,n500-d5-c3-spr0.1-out0_TSNE_2,500,3,50,0.4901617885382525,0.385545015335083,0.4984885042202234,0.3602175712585449,0.5139830727740105,9.822247982025146,0.4910707776707349,0.4404599666595459,0.4960776000640685,0.361501932144165,0.4979674501584622,0.4080438613891601,0.5010090961355744,0.3545863628387451,0.4915111432704854,0.3756277561187744,0.4816442148507684,0.3599164485931396,0.49139130907892126,3.140909433364868,0.4942513254110613,0.4387598037719726,0.4879758618123954,0.4419472217559814,1.0,0.1884942054748535,2109,0.1569697856903076,0.0,0.1414575576782226,0.0251331096569491,0.0628843307495117,9.918306084462484,0.0116362571716308,0.01031374036457075,14.762449979782104,0,0,[],yes,['cluster']
figure_category_basedmarkersize10_n500-d5-c3-spr0.2-out0_TSNE_2,n500-d5-c3-spr0.2-out0_TSNE_2,500,3,10,0.4995462629947368,0.3456707000732422,0.5001376653504639,0.4081819057464599,0.4903535460162718,0.5385496616363525,0.4994967404611954,10.048691511154177,0.4997759380065962,0.3816440105438232,0.4998581049154282,0.282595157623291,0.5,0.3452801704406738,0.4991875692895247,0.3296401500701904,0.4966714998772749,0.4233369827270508,0.5153144021696021,3.1238605976104736,0.4971192537376948,0.3768336772918701,0.497495837657652,0.3932380676269531,1.0,0.1265015602111816,18,0.15745210647583,0.0,0.1096980571746826,0.0251499097410737,0.0785918235778808,13.10886260344215,0.0,0.002123444851196316,12.98111343383789,0,0,[],no,['cluster']
figure_category_basedmarkersize20_n500-d5-c3-spr0.2-out0_TSNE_2,n500-d5-c3-spr0.2-out0_TSNE_2,500,3,20,0.2513776070163767,0.3418030738830566,0.2600371880059757,0.3259546756744385,0.426760479753821,0.5906012058258057,0.2566992301568783,0.378901720046997,0.258742866720377,0.4063997268676758,0.265780137294426,10.778236389160156,0.208329363782682,0.3618788719177246,0.2985979734934645,0.3615870475769043,0.3268443654018733,0.3611743450164795,0.23980064477371976,3.3297348022460938,0.237685440123198,0.393002986907959,0.2510347912681966,0.3820068836212158,1.0,0.1411316394805908,97,0.1254258155822754,0.0,0.1102743148803711,0.0251499097410737,0.0625147819519043,13.10886260344215,0.0157332420349121,0.0032862404858499715,14.609888553619385,0,0,[],no,['cluster']
figure_category_basedmarkersize50_n500-d5-c3-spr0.2-out0_TSNE_2,n500-d5-c3-spr0.2-out0_TSNE_2,500,3,50,0.1393417290857785,0.427912950515747,0.1388789958483897,0.401555061340332,0.1757962414817361,0.5510270595550537,0.1419559877306586,0.3957171440124511,0.1405566928141254,0.3617367744445801,0.1432556050528058,0.3757050037384033,0.1232428971043176,0.3469340801239013,0.1853880843558552,9.901116132736206,0.1620601441413559,0.2999749183654785,0.1400005341799897,3.2107925415039062,0.1429057929473571,0.3644776344299316,0.1371908359055408,0.3950438499450683,1.0,0.2492892742156982,804,0.1103708744049072,0.0,0.1428804397583007,0.0251499097410737,0.0795273780822753,13.10886260344215,0.0155308246612548,-,15.0,0,0,[],no,['cluster']
