Scatterplot Name,Dataset Name,Number of Entire Data,Number of Classes,Marker Size,M_distance,M_distance Calculation Time,LOF Distance,LOF Distance Calculation Time,Isolation Forest Distance,Isolation Forest Distance Calculation Time,Centroid Distance,Centroid Distance Calculation Time,Average Linkage Method Distance,Average Linkage Method Distance Calculation Time,Visibility Index,Visibility Index Calculation Time,MPix,MPix Calculation Time,Grid Density Overlap Degree,Grid Density Overlap Degree Calculation Time,Kernel Density Overlap Degree,Kernel Density Overlap Degree Calculation Time,Nearest Neighbor Distance,Nearest Neighbor Distance Calculation Time,Pairwise Bounding Box Overlap Degree,Pairwise Bounding Box Overlap Degree Calculation Time,No. Covered Data Points,No. Covered Data Points by Different Classes,Categories Covered Data Points by Different Classes
figure_descendingmarkersize150_UnEvenDensity_tsne,UnEvenDensity_tsne,905,2,150,0.5951605395368704,0.6129403114318848,0.634590107224501,0.6149063110351562,-,15,0.605350789955838,0.5838568210601807,0.6261345453715803,0.6496119499206543,0.8331491712707182,0.4584541320800781,81537,0.2534205913543701,0.0,0.14116382598876953,0.029540142667197858,0.12644481658935547,9.688568369653705,0.015761613845825195,-,15,0,0,[]
figure_category_basedmarkersize10_wdbc_class_1_2_tsne,wdbc_class_1_2_tsne,569,2,10,0.9006105976794658,0.45891547203063965,0.9103354108769741,0.363262414932251,0.924265649650984,0.47127747535705566,0.9189526112795346,0.42624497413635254,0.9237526980767177,0.44022178649902344,1.0,0.20508670806884766,381,0.20484423637390137,0.0,0.17383480072021484,0.030199667448373733,0.07793331146240234,5.162416211728187,0.0,-,15,0,0,[]
figure_category_basedmarkersize60_wdbc_class_1_2_tsne,wdbc_class_1_2_tsne,569,2,60,0.3655105750353571,0.3790466785430908,0.4184684050451295,0.4534471035003662,0.5003471665010015,0.6594822406768799,0.41229516068790284,0.4503312110900879,0.43640952118550314,0.3846101760864258,0.9103690685413005,0.17414593696594238,15930,0.1583414077758789,0.0,0.1522960662841797,0.030199667448373733,0.037297725677490234,5.162416211728187,0.0008294582366943359,-,15,9,0,[]
figure_category_basedmarkersize100_wdbc_class_1_2_tsne,wdbc_class_1_2_tsne,569,2,100,0.2591581542117266,0.4855771064758301,0.3094682449771802,0.49821996688842773,0.3965003768343668,0.7579703330993652,0.30107657101997354,0.4759547710418701,-,15,0.7469244288224957,0.2209455966949463,27891,0.2065749168395996,0.0,0.1888904571533203,0.030199667448373733,0.08098626136779785,5.162416211728187,0.01427316665649414,-,15,0,0,[]
figure_category_basedmarkersize150_wdbc_class_1_2_tsne,wdbc_class_1_2_tsne,569,2,150,0.18859762594085017,0.4769589900970459,0.23166310488368191,0.4593820571899414,0.3226343501376494,0.8237414360046387,0.22514190229050413,0.5457804203033447,0.24583706742850664,0.4391474723815918,0.5500878734622144,0.17072653770446777,40532,0.13395214080810547,0.0,0.12663531303405762,0.030199667448373733,0.047783613204956055,5.162416211728187,0.0,-,15,98,3,"[{'category': 0, 'number': 3}]"
figure_ascendingmarkersize10_wdbc_class_1_2_tsne,wdbc_class_1_2_tsne,569,2,10,0.9261260062258253,0.40639424324035645,0.923453566454883,0.36182379722595215,0.9134551385410279,0.6326713562011719,0.9282324463406169,0.3953988552093506,0.9283355740923349,0.4142143726348877,1.0,0.19103527069091797,381,0.1911935806274414,0.0,0.17386627197265625,0.03019966744837374,0.06421613693237305,5.162416211728187,0.014604568481445312,-,15,0,0,[]
figure_ascendingmarkersize60_wdbc_class_1_2_tsne,wdbc_class_1_2_tsne,569,2,60,0.46708093477516155,0.41576647758483887,0.45520542325447144,0.41724228858947754,0.4112861275904963,0.5534720420837402,0.4634086834541591,0.49411916732788086,0.45975662428434005,0.47699785232543945,-,15,15930,0.14397883415222168,0.0,0.14267230033874512,0.03019966744837374,0.0644986629486084,5.162416211728187,0.0,-,15,0,0,[]
figure_ascendingmarkersize100_wdbc_class_1_2_tsne,wdbc_class_1_2_tsne,569,2,100,0.3616611790184495,0.5453512668609619,0.34602277032937023,0.41526174545288086,0.29466490905785847,0.7304434776306152,0.3536469230625843,0.53798508644104,0.3492493897397301,0.5053679943084717,0.7469244288224957,0.18969464302062988,27891,0.1654038429260254,0.0,0.1376359462738037,0.03019966744837374,0.07268500328063965,5.162416211728187,0.005608797073364258,-,15,5,0,[]
figure_ascendingmarkersize150_wdbc_class_1_2_tsne,wdbc_class_1_2_tsne,569,2,150,0.2910179449682684,0.5197713375091553,0.2685992479105431,0.49235963821411133,0.20919555396342981,0.7439603805541992,0.27940340926457297,0.5098912715911865,0.2719618819778836,0.5378978252410889,0.5500878734622144,0.2239689826965332,40532,0.21924448013305664,0.0,0.17346954345703125,0.03019966744837374,0.06299662590026855,5.162416211728187,0.0,-,15,14,1,"[{'category': 0, 'number': 1}]"
figure_descendingmarkersize10_wdbc_class_1_2_tsne,wdbc_class_1_2_tsne,569,2,10,0.8647887654257935,0.44268274307250977,0.8995787316957178,0.32547807693481445,0.9678297742156968,0.4895763397216797,0.9038357376081858,0.4625675678253174,0.9101409563107132,0.4221639633178711,1.0,0.2214069366455078,381,0.1658790111541748,0.0,0.14438724517822266,0.03019966744837374,0.06882071495056152,5.162416211728187,0.0,-,15,0,0,[]
